Timestamp,Year of birth,Were you ever a smoker?,Year when first started smoking,Year when stopped smoking,When did you start looking for an internship,Sex,When did you stopped looking for an internship,Have you found an internship?,Education: background (pick a main one you identify with),Years of education,Do you have children?,Cohort
11/2/2020 18:07:41,1979,No,,,,Female,,No,Other,17,No,A20
11/2/2020 18:10:36,1993,No,,,8/1/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",24,No,S20
11/2/2020 18:23:04,1974,No,,,5/1/2020,Male,10/1/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",16,Yes,S20
11/2/2020 18:27:07,1955,No,,,3/1/1980,Male,5/1/1980,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",17,Yes,S20
11/2/2020 18:37:10,1986,No,,,,Male,,No,Other,18,No,S20
11/2/2020 18:47:13,1995,No,,,,Male,,,Other,4,No,A20
11/2/2020 18:55:52,1983,"Yes, and I stopped",2000,2013,6/1/2020,Male,,No,"Medicine, Biology",24,Yes,A19
11/2/2020 20:06:29,1976,"Yes, and I stopped",1995,2001,9/25/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",16,No,S20
11/2/2020 20:14:49,1986,No,,,4/15/2021,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",16,No,A20
11/2/2020 20:35:13,1987,"Yes, and I stopped",2002,2014,,Female,,,"Business, Management",5,No,A20
11/2/2020 20:53:29,1986,No,,,,Male,,,"Mathematics, Physics, Chemistry, Computer Science, Statistics",16,Yes,A20
11/2/2020 21:03:05,1989,No,,,,Male,,,Other,20,No,A20
11/2/2020 21:13:04,1982,No,,,4/2/2020,Female,7/31/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",20,No,A19
11/2/2020 21:26:24,1989,No,,,,Female,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",23,No,A20
11/2/2020 21:32:47,1982,"Yes, and I stopped",2004,2015,3/1/2020,Male,3/13/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",6,No,A19
11/2/2020 23:06:38,1984,"Yes, and I'm currently smoking",2004,,10/1/2020,Male,,No,Other,17,No,A20
11/2/2020 23:49:14,1994,No,,,8/17/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",22,No,S20
11/3/2020 0:05:49,1983,No,,,10/15/2020,Female,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",19,Yes,S20
11/3/2020 1:00:35,1974,No,,,9/15/2020,Male,9/29/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",20,Yes,S20
11/3/2020 1:22:26,1981,"Yes, and I stopped",,2005,10/1/2020,Male,,No,"Business, Management",16,No,A20
11/3/2020 9:40:29,1991,No,,,11/1/2019,Male,2/1/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",6,No,S19
11/3/2020 9:59:36,1993,No,,,,Female,,No,"Business, Management",19,No,A19
11/3/2020 10:09:21,1955,"Yes, and I'm currently smoking",1971,,,Male,,No,Other,18,Yes,A17
11/3/2020 13:35:02,1975,No,,,,Female,,,"Mathematics, Physics, Chemistry, Computer Science, Statistics",5,Yes,A20
11/3/2020 14:56:14,1985,"Yes, and I stopped",2000,2016,11/1/2020,Male,,No,"Finance, Economy",18,No,S20
11/3/2020 16:08:56,1978,"Yes, and I stopped",1995,2020,2/1/2020,Male,3/15/2020,Yes,"Business, Management",21,Yes,A19
11/3/2020 20:59:10,1987,No,,,11/1/2019,Female,1/1/2020,Yes,"Medicine, Biology",14,No,A19
11/4/2020 11:36:20,1996,"Yes, and I'm currently smoking",2015,2018,11/1/2020,Male,,No,"Finance, Economy",20,No,A20
11/4/2020 15:29:50,1988,"Yes, and I'm currently smoking",2009,,10/1/2020,Female,,No,"Business, Management",18,No,S20
11/4/2020 17:39:09,1993,"Yes, and I'm currently smoking",2009,,5/6/2019,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",18,No,A20
11/4/2020 23:15:54,1979,No,,,,Male,,,"Mathematics, Physics, Chemistry, Computer Science, Statistics",23,Yes,S18
11/5/2020 7:35:17,1992,No,,,9/1/2020,Female,,No,"Finance, Economy",19,No,A20
11/7/2020 22:42:31,1967,"Yes, and I stopped",1987,2014,5/1/2018,Male,5/11/2018,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",23,Yes,A17
11/9/2020 21:28:35,1989,No,,,12/9/2019,Female,6/9/2020,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",,Yes,A20
11/9/2020 23:14:26,1993,No,,,11/30/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",16,No,A20
11/13/2020 10:04:47,1992,No,,,11/13/2020,Female,,No,"Business, Management",19,No,A20
11/13/2020 14:54:17,1997,"Yes, and I'm currently smoking",2014,,11/2/2020,Male,,No,"Medicine, Biology",18,No,A20
